City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,sitka,57.0531,-135.33,4.94,52,0,0.0,US,1738797039
130,qaqortoq,60.7167,-46.0333,-22.66,81,3,3.73,GL,1738797040
131,choibalsan,48.0667,114.5,-21.7,94,100,6.85,MN,1738797042
132,kavaratti,10.5669,72.642,26.93,73,9,4.29,IN,1738797044
133,crane,31.3974,-102.3501,28.11,16,0,2.73,US,1738797047
134,kilindoni,-7.9139,39.6668,27.03,78,100,7.75,TZ,1738797048
135,portage la prairie,49.9728,-98.2926,-12.28,62,100,3.94,CA,1738797004
136,nova sintra,14.8667,-24.7167,22.37,71,2,8.61,CV,1738797050
137,longyearbyen,78.2186,15.6401,0.91,55,20,7.2,SJ,1738797051
138,villa gesell,-37.2639,-56.973,18.95,77,100,6.59,AR,1738797052
139,nuuk,64.1835,-51.7216,-13.66,66,75,3.09,GL,1738797053
140,port saint john's,-31.6229,29.5448,21.05,91,100,3.33,ZA,1738797055
141,al bardiyah,31.7561,25.0865,12.52,57,85,6.75,LY,1738797058
142,mananara,-16.1667,49.7667,24.13,90,100,1.24,MG,1738797060
143,udachny,66.4167,112.4,-22.54,99,100,2.11,RU,1738796992
144,pacasmayo,-7.4006,-79.5714,23.91,72,40,5.1,PE,1738797066
145,geraldton,-28.7667,114.6,24.23,83,100,5.14,AU,1738797068
146,traversetolo,44.6422,10.3772,4.82,63,1,1.31,IT,1738797069
147,veranopolis,-28.9361,-51.5494,27.86,55,30,1.07,BR,1738797042
148,port-cartier,50.0334,-66.8654,-16.92,78,92,5.27,CA,1738797072
149,port douglas,-16.4833,145.4667,28.17,80,100,0.38,AU,1738797073
150,kovdor,67.5662,30.4758,-4.7,91,98,5.58,RU,1738797075
151,jiexiu,37.0244,111.9125,-3.84,27,74,3.42,CN,1738797077
152,badagry,6.4167,2.8833,27.2,87,52,4.23,NG,1738797079
153,georgetown,5.4112,100.3354,26.96,77,20,1.54,MY,1738797081
154,tremp,42.167,0.8949,4.72,68,0,0.86,ES,1738797082
155,alice springs,-23.7,133.8833,29.75,35,64,1.03,AU,1738796881
156,huarmey,-10.0681,-78.1522,23.4,77,68,2.58,PE,1738796943
157,mujiayingzi,42.1167,118.7833,-16.48,77,0,2.93,CN,1738797089
158,arraial do cabo,-22.9661,-42.0278,24.43,86,74,11.56,BR,1738796965
159,praia da vitoria,38.7333,-27.0667,15.42,91,77,3.82,PT,1738797093
160,petropavlovsk-kamchatsky,53.0452,158.6483,-1.67,47,20,3.0,RU,1738797094
161,kirakira,-10.4544,161.9205,28.57,80,100,4.36,SB,1738797095
162,college,64.8569,-147.8028,-8.24,81,100,0.0,US,1738797096
163,fada,7.25,4.0667,24.76,89,34,0.87,NG,1738797097
164,altania,-23.8744,-53.9017,22.81,94,96,4.41,BR,1738797100
165,el calafate,-50.3408,-72.2768,13.76,51,47,4.61,AR,1738797102
166,klyuchi,52.2667,79.1667,-16.63,83,5,5.17,RU,1738797104
167,lubao,14.9167,120.55,24.84,83,78,2.18,PH,1738797105
168,san juan,-31.5375,-68.5364,33.86,19,0,6.12,AR,1738797052
169,vilyuchinsk,52.9306,158.4028,-0.85,83,100,7.06,RU,1738797111
170,fisterra,42.9049,-9.2629,12.43,75,100,2.6,ES,1738797112
171,deori,21.45,82.6167,19.93,48,1,2.39,IN,1738797114
172,afaahiti,-17.75,-149.2833,26.16,79,89,6.4,PF,1738797102
173,abepura,-2.6333,140.5833,25.45,94,20,0.51,ID,1738797118
174,san patricio,28.017,-97.5169,25.97,64,65,7.28,US,1738797120
175,burabay,53.0838,70.3138,-11.89,98,100,2.83,KZ,1738797068
176,osan,37.1522,127.0706,-11.06,78,0,0.0,KR,1738797125
177,slave lake,55.2834,-114.769,-17.93,88,37,2.98,CA,1738797128
178,san luis de la loma,17.2706,-100.8939,28.53,56,0,3.02,MX,1738797129
179,vorgashor,67.5833,63.95,-14.24,98,98,3.13,RU,1738797130
180,walvis bay,-22.9575,14.5053,18.38,84,94,3.46,,1738797132
181,whitehorse,60.7161,-135.0538,-12.1,92,79,2.46,CA,1738797134
182,butajira,8.1167,38.3667,15.42,28,34,1.81,ET,1738797137
183,khorramabad,33.4878,48.3558,5.94,38,59,3.5,IR,1738797138
184,bilibino,68.0546,166.4372,-41.39,95,7,1.2,RU,1738797140
185,vernon,50.2581,-119.2691,-7.36,47,25,4.02,CA,1738796870
186,mili,6.0815,171.735,27.06,83,69,9.62,MH,1738797142
